config_name,barrel_shifter,enable_mul,enable_div,enable_counters,enable_compressed,actual_freq_mhz,cache_module,cycles,instns,cpi
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l16_w16_icache_multiword_lookahead,1,1,1,1,0,27.75,16,16,icache_multiword_lookahead,62022198,3921974,15.814025794153658
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l16_w16_icache_multiword_lookahead_2way,1,1,1,1,0,27.75,16,16,icache_multiword_lookahead_2way,58999350,3921974,15.043279226226385
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l32_w2_icache_multiword_lookahead,1,1,1,1,0,27.75,32,2,icache_multiword_lookahead,47766374,3921974,12.179166409568243
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l32_w2_icache_multiword_lookahead_2way,1,1,1,1,0,27.75,32,2,icache_multiword_lookahead_2way,47347046,3921974,12.072248821639308
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l32_w4_icache_multiword_lookahead,1,1,1,1,0,27.75,32,4,icache_multiword_lookahead,53342516,3921974,13.600935651281727
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l32_w4_icache_multiword_lookahead_2way,1,1,1,1,0,27.75,32,4,icache_multiword_lookahead_2way,52609844,3921974,13.414123602043256
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l32_w8_icache_multiword_lookahead,1,1,1,1,0,27.75,32,8,icache_multiword_lookahead,57732441,3921974,14.72025082267246
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l32_w8_icache_multiword_lookahead_2way,1,1,1,1,0,27.75,32,8,icache_multiword_lookahead_2way,56571225,3921974,14.424171348407715
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l32_w16_icache_multiword_lookahead,1,1,1,1,0,27.75,32,16,icache_multiword_lookahead,60651318,3921974,15.464487525924445
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l32_w16_icache_multiword_lookahead_2way,1,1,1,1,0,27.75,32,16,icache_multiword_lookahead_2way,56958892,3921974,14.52301621581377
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l64_w2_icache_multiword_lookahead,1,1,1,1,0,27.75,64,2,icache_multiword_lookahead,47556710,3921974,12.125707615603774
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l64_w4_icache_multiword_lookahead,1,1,1,1,0,27.75,64,4,icache_multiword_lookahead,53036084,3921974,13.522803567795197
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l64_w8_icache_multiword_lookahead,1,1,1,1,0,27.75,64,8,icache_multiword_lookahead,57085017,3921974,14.555174766584377
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l64_w16_icache_multiword_lookahead,1,1,1,1,0,27.75,64,16,icache_multiword_lookahead,53596872,3921974,13.665789727315888
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l64_w16_icache_multiword_lookahead_2way,1,1,1,1,0,27.75,64,16,icache_multiword_lookahead_2way,24674634,3921974,6.2913813299119274
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l128_w2_icache_multiword_lookahead,1,1,1,1,0,27.75,128,2,icache_multiword_lookahead,47466854,3921974,12.102796703904717
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l128_w4_icache_multiword_lookahead,1,1,1,1,0,27.75,128,4,icache_multiword_lookahead,52849460,3921974,13.475219366574077
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l128_w8_icache_multiword_lookahead,1,1,1,1,0,27.75,128,8,icache_multiword_lookahead,50869337,3921974,12.970340190934463
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l128_w16_icache_multiword_lookahead,1,1,1,1,0,27.75,128,16,icache_multiword_lookahead,43606458,3921974,11.11849747091643
