config_name,benchmark,cycles,instns,cpi
enable_mul_enable_div_enable_counters_01110_freq2775_l64_w16_icache_multiword_lookahead_2way,group5,590619,142359,4.148799865129707
enable_mul_enable_div_enable_counters_01110_freq2775_l64_w16_icache_multiword_lookahead_2way,bubble,590619,142359,4.148799865129707
enable_mul_enable_div_enable_counters_01110_freq2775_l64_w16_icache_multiword_lookahead_2way,integral,590619,142359,4.148799865129707
