config_name,barrel_shifter,enable_mul,enable_div,enable_counters,enable_compressed,two_cycle_compare,two_cycle_alu,enable_regs_dualport,enable_counters64,catch_misalign,catch_illinsn,latched_mem_rdata,use_clk_divider,enable_irq_qregs,cache_lines,cache_words_per_line,cache_module
enable_mul_enable_div_enable_regs_dualport_01100001000000_l16_w1_icache_multiword_lookahead,0,1,1,0,0,0,0,1,0,0,0,0,0,0,16,1,icache_multiword_lookahead
enable_mul_enable_div_enable_regs_dualport_01100001000000_l16_w2_icache_multiword_lookahead,0,1,1,0,0,0,0,1,0,0,0,0,0,0,16,2,icache_multiword_lookahead
enable_mul_enable_div_enable_regs_dualport_01100001000000_l16_w4_icache_multiword_lookahead,0,1,1,0,0,0,0,1,0,0,0,0,0,0,16,4,icache_multiword_lookahead
enable_mul_enable_div_enable_regs_dualport_01100001000000_l16_w8_icache_multiword_lookahead,0,1,1,0,0,0,0,1,0,0,0,0,0,0,16,8,icache_multiword_lookahead
enable_mul_enable_div_enable_regs_dualport_01100001000000_l16_w16_icache_multiword_lookahead,0,1,1,0,0,0,0,1,0,0,0,0,0,0,16,16,icache_multiword_lookahead
enable_mul_enable_div_enable_regs_dualport_01100001000000_l32_w1_icache_multiword_lookahead,0,1,1,0,0,0,0,1,0,0,0,0,0,0,32,1,icache_multiword_lookahead
enable_mul_enable_div_enable_regs_dualport_01100001000000_l32_w2_icache_multiword_lookahead,0,1,1,0,0,0,0,1,0,0,0,0,0,0,32,2,icache_multiword_lookahead
enable_mul_enable_div_enable_regs_dualport_01100001000000_l32_w4_icache_multiword_lookahead,0,1,1,0,0,0,0,1,0,0,0,0,0,0,32,4,icache_multiword_lookahead
enable_mul_enable_div_enable_regs_dualport_01100001000000_l32_w8_icache_multiword_lookahead,0,1,1,0,0,0,0,1,0,0,0,0,0,0,32,8,icache_multiword_lookahead
enable_mul_enable_div_enable_regs_dualport_01100001000000_l32_w16_icache_multiword_lookahead,0,1,1,0,0,0,0,1,0,0,0,0,0,0,32,16,icache_multiword_lookahead
enable_mul_enable_div_enable_regs_dualport_01100001000000_l64_w1_icache_multiword_lookahead,0,1,1,0,0,0,0,1,0,0,0,0,0,0,64,1,icache_multiword_lookahead
enable_mul_enable_div_enable_regs_dualport_01100001000000_l64_w2_icache_multiword_lookahead,0,1,1,0,0,0,0,1,0,0,0,0,0,0,64,2,icache_multiword_lookahead
enable_mul_enable_div_enable_regs_dualport_01100001000000_l64_w4_icache_multiword_lookahead,0,1,1,0,0,0,0,1,0,0,0,0,0,0,64,4,icache_multiword_lookahead
enable_mul_enable_div_enable_regs_dualport_01100001000000_l64_w8_icache_multiword_lookahead,0,1,1,0,0,0,0,1,0,0,0,0,0,0,64,8,icache_multiword_lookahead
