parameter,luts_0_mean,luts_1_mean,luts_increase,fmax_0_mean,fmax_1_mean,fmax_change
barrel_shifter,2054.9375,2142.1875,87.25,8.076875000000001,8.25375,0.176874999999999
enable_mul,,2098.5625,,,8.1653125,
enable_div,,2098.5625,,,8.1653125,
enable_fast_mul,2098.5625,,,8.1653125,,
enable_counters,2032.8125,2164.3125,131.5,8.192499999999999,8.138124999999999,-0.054375000000000284
enable_irq,0.0,4197.125,4197.125,0.0,16.330624999999998,16.330624999999998
