,luts,ffs,brams,carry_cells,fmax_mhz,logic_levels
barrel_shifter,0.004182250197914926,0.017393033027788895,0.21832961059881253,0.0033589024328149666,-0.006843936273174155,0.005806206319461724
enable_mul,0.37770947099918906,0.37741327178770223,0.23234943843659583,0.376072668681462,0.3778447947685417,0.37740341076501643
enable_div,0.377709470999189,0.37741327178770223,0.23234943843659595,0.37607266868146205,0.37784479476854177,0.37740341076501654
enable_fast_mul,,,,,,
enable_counters,0.012285359956375036,-0.004300759904587343,0.12836904863970316,0.03495746606003667,-0.005415636529207318,0.005806206319461807
enable_irq,0.37770947099918906,0.37741327178770223,0.23234943843659583,0.37607266868146194,0.3778447947685416,0.37740341076501627
