config_name,barrel_shifter,enable_mul,enable_div,enable_counters,enable_compressed,enable_irqtwo_stage_shift,two_cycle_compare,two_cycle_alu,enable_regs_dualport,enable_counters64,catch_misalign,catch_illinsn,latched_mem_rdata,use_clk_divider,enable_irq_qregs,cache_module
enable_mul_enable_div_two_cycle_compare_enable_irq_qregs_011000100000001_icache_multiword_lookahead,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_compare_catch_illinsn_011000100001000_icache_multiword_lookahead,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_compare_catch_illinsn_enable_irq_qregs_011000100001001_icache_multiword_lookahead,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_compare_catch_misalign_011000100010000_icache_multiword_lookahead,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_compare_catch_misalign_enable_irq_qregs_011000100010001_icache_multiword_lookahead,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_compare_catch_misalign_catch_illinsn_011000100011000_icache_multiword_lookahead,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_compare_catch_misalign_catch_illinsn_enable_irq_qregs_011000100011001_icache_multiword_lookahead,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_compare_enable_regs_dualport_011000101000000_icache_multiword_lookahead,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_compare_enable_regs_dualport_enable_irq_qregs_011000101000001_icache_multiword_lookahead,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_compare_enable_regs_dualport_catch_illinsn_011000101001000_icache_multiword_lookahead,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_compare_enable_regs_dualport_catch_illinsn_enable_irq_qregs_011000101001001_icache_multiword_lookahead,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_compare_enable_regs_dualport_catch_misalign_011000101010000_icache_multiword_lookahead,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_compare_enable_regs_dualport_catch_misalign_enable_irq_qregs_011000101010001_icache_multiword_lookahead,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_compare_enable_regs_dualport_catch_misalign_catch_illinsn_011000101011000_icache_multiword_lookahead,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_compare_enable_regs_dualport_catch_misalign_catch_illinsn_enable_irq_qregs_011000101011001_icache_multiword_lookahead,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_compare_two_cycle_alu_011000110000000_icache_multiword_lookahead,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_compare_two_cycle_alu_enable_irq_qregs_011000110000001_icache_multiword_lookahead,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_compare_two_cycle_alu_catch_illinsn_011000110001000_icache_multiword_lookahead,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_compare_two_cycle_alu_catch_illinsn_enable_irq_qregs_011000110001001_icache_multiword_lookahead,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_compare_two_cycle_alu_catch_misalign_011000110010000_icache_multiword_lookahead,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_compare_two_cycle_alu_catch_misalign_enable_irq_qregs_011000110010001_icache_multiword_lookahead,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_compare_two_cycle_alu_catch_misalign_catch_illinsn_011000110011000_icache_multiword_lookahead,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_compare_two_cycle_alu_catch_misalign_catch_illinsn_enable_irq_qregs_011000110011001_icache_multiword_lookahead,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_compare_two_cycle_alu_enable_regs_dualport_011000111000000_icache_multiword_lookahead,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,icache_multiword_lookahead
