config,tests_pass,luts,ffs,brams,dsps,carry_cells,fmax_mhz,logic_levels,lc_used,lc_total,lc_percent,ram_used,ram_total,ram_percent,dsp_used,dsp_total,dsp_percent,io_used,io_total,io_percent,pll_used,pll_total,pll_percent,gb_used,gb_total,gb_percent,barrel_shifter,enable_mul,enable_div,enable_counters,enable_compressed,enable_irqtwo_stage_shift,two_cycle_compare,two_cycle_alu,enable_regs_dualport,enable_counters64,catch_misalign,catch_illinsn,latched_mem_rdata,use_clk_divider,enable_irq_qregs,cache_module,enable_fast_mul
enable_mul_enable_div_two_cycle_alu_catch_misalign_011000010010000_icache_multiword_lookahead,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,icache_multiword_lookahead,0
enable_mul_enable_div_two_cycle_alu_catch_misalign_enable_irq_qregs_011000010010001_icache_multiword_lookahead,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,icache_multiword_lookahead,0
enable_mul_enable_div_two_cycle_alu_catch_misalign_catch_illinsn_011000010011000_icache_multiword_lookahead,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,icache_multiword_lookahead,0
enable_mul_enable_div_two_cycle_alu_catch_misalign_catch_illinsn_enable_irq_qregs_011000010011001_icache_multiword_lookahead,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,icache_multiword_lookahead,0
enable_mul_enable_div_two_cycle_alu_enable_regs_dualport_011000011000000_icache_multiword_lookahead,1,4167,4900,756,0,719,16.42,16,4916,5280,93,22,30,73,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,icache_multiword_lookahead,0
enable_mul_enable_div_two_cycle_alu_enable_regs_dualport_enable_irq_qregs_011000011000001_icache_multiword_lookahead,1,4058,6611,352,0,718,17.53,16,4809,5280,91,22,30,73,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,icache_multiword_lookahead,0
enable_mul_enable_div_two_cycle_alu_enable_regs_dualport_catch_illinsn_011000011001000_icache_multiword_lookahead,1,4157,4895,242,0,720,16.44,15,4905,5280,92,22,30,73,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,icache_multiword_lookahead,0
enable_mul_enable_div_two_cycle_alu_enable_regs_dualport_catch_illinsn_enable_irq_qregs_011000011001001_icache_multiword_lookahead,1,4118,5660,1064,0,700,16.27,16,4845,5280,91,22,30,73,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,icache_multiword_lookahead,0
enable_mul_enable_div_two_cycle_alu_enable_regs_dualport_catch_misalign_011000011010000_icache_multiword_lookahead,1,4111,4910,4,0,700,16.26,16,4838,5280,91,22,30,73,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,icache_multiword_lookahead,0
enable_mul_enable_div_two_cycle_alu_enable_regs_dualport_catch_misalign_enable_irq_qregs_011000011010001_icache_multiword_lookahead,1,4122,5252,4,0,701,15.03,18,4850,5280,91,22,30,73,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,icache_multiword_lookahead,0
